,image_url,stories_id,media_id,story_title,story_url,media_name,media_url,publish_date,inlink_count,fb_count,partisan,deleted,d_hash,img_size,index
1376,https://cdn.cnn.com/cnnnext/dam/assets/190204164023-abortion-illo-5-super-tease.jpg,1184446185,1095,"Before judging 'late-term abortion,' understand what it means, doctors say",http://rss.cnn.com/~r/rss/cnn_latest/~3/IHQbDM0h1kU/index.html,CNN,http://www.cnn.com/,2019-02-06 04:08:08.000000,6,450884,[3687],FALSE,e86874d4d6929697,56648,e86874d4d6929697
1375,https://static.foxnews.com/foxnews.com/content/uploads/2019/01/Gov-Andrew-Cuomo.jpg,1173399814,1092,New York 'celebrates' legalizing abortion until birth as Catholic bishops question Cuomo's faith,http://feeds.foxnews.com/~r/foxnews/politics/~3/E6XrHv50Yfs/new-york-celebrates-legalizing-abortion-until-birth-as-catholic-bishops-question-cuomos-faith,FOX News,http://www.foxnews.com/,2019-01-23 15:51:01.000000,2,382249,[3690],FALSE,e474d2d6da9b7951,81229,e474d2d6da9b7951
1374,https://static01.nyt.com/images/2019/02/07/science/07ABORTION/07ABORTION-facebookJumbo.jpg,1184916984,1,What Trump Got Wrong About Late-Term Abortions,https://www.nytimes.com/2019/02/06/health/late-term-abortion-trump.html,New York Times,http://nytimes.com,2019-02-06 18:56:17.000000,1,130188,[3687],FALSE,46715a4a9aeac8e0,163193,46715a4a9aeac8e0
1373,https://theintercept.imgix.net/wp-uploads/sites/1/2019/02/AP_19037036434004-AOC-Democrats-Left-centrism-1551198385-e1551198568278.jpg?auto=compress%2Cformat&q=90&fit=crop&w=1200&h=800,1208123850,269138,"AOC, Sanders, and Warren Are the Real Centrists Because They Speak for Most Americans",https://theintercept.com/2019/02/26/democratic-party-centrism-aoc-sanders-warren/,The Intercept,https://theintercept.com/,2019-02-26 12:17:07.000000,1,116387,[3686],FALSE,62cc9d9d3c3c3c94,185554,62cc9d9d3c3c3c94
1372,https://static01.nyt.com/images/2019/02/26/opinion/26Gunter-Sub2/26Gunter-Sub2-facebookJumbo.jpg,1208189386,1,I Didn’t Kill My Baby,https://www.nytimes.com/2019/02/26/opinion/born-alive-abortion.html,New York Times,http://nytimes.com,2019-02-26 21:02:42.000000,2,116207,[3687],FALSE,63e3eb6b3319586c,107668,63e3eb6b3319586c
1371,https://cbsnews1.cbsistatic.com/hub/i/r/2019/01/08/78af1108-e687-4d8e-8dc4-07a44c5bd872/thumbnail/1200x630/422ae644e3bd74b27f5175cd0dae90a6/gettyimages-1078781836.jpg,1183342907,1752,New York passes law allowing abortions at any time if mother's health is at risk,https://www.cbsnews.com/news/new-york-passes-abortion-bill-late-term-if-mothers-health-is-at-risk-today-2019-01-23/,cbs news,http://www.cbsnews.com/,2019-01-24 20:30:09.000000,7,110438,[3687],FALSE,f4b4f4cedb9b1bc4,78735,f4b4f4cedb9b1bc4
1370,https://fivethirtyeight.com/wp-content/uploads/2017/01/promo_16x9_congress_tracker_compressed2.jpg,1157625388,5915,Tracking Congress In The Age Of Trump,https://projects.fivethirtyeight.com/congress-trump-score/seth-moulton/,FiveThirtyEight,http://www.fivethirtyeight.com/,2017-01-30 12:00:00,7,86236,[3689],FALSE,6d28c4c92986b233,187569,6d28c4c92986b233
1369,https://static01.nyt.com/images/2019/02/23/science/23ABORTION/23ABORTION-facebookJumbo.jpg,1205265008,1,Trump Administration Blocks Funds for Planned Parenthood and Others Over Abortion Referrals,https://www.nytimes.com/2019/02/22/health/trump-defunds-planned-parenthood.html,New York Times,http://nytimes.com,2019-02-22 19:25:49.000000,2,66257,[3687],FALSE,813dd95919195908,146187,813dd95919195908
1367,https://www.liveaction.org/news/wp-content/uploads/2017/09/baby-incubator-preemie-700x350.jpg,1264195448,83282,Eyewitness: Babies born alive after abortion were drowned in saline,https://www.liveaction.org/news/eyewitness-born-alive-abortion-drowned-saline/,Live Action News,http://liveactionnews.org/,2019-04-23 16:46:46,2,50126,[],FALSE,a4f0a0d8d8c1a160,28159,a4f0a0d8d8c1a160
1368,https://www.liveaction.org/news/wp-content/uploads/2017/09/baby-incubator-preemie-700x350.jpg,1290267148,71843,Eyewitness: Babies born alive after abortion were drowned in saline,https://www.liveaction.org/news/eyewitness-born-alive-abortion-drowned-saline/?fbclid=IwAR0JjQXC_A1fnygp_vh3Iwy3OtUFoleItd3o0lbqR2GFVKuUbQkY9mVUQdw&utm_content=90195938&utm_medium=social&utm_source=twitter&hss_channel=tw-18001922,liveaction.org,http://www.liveaction.org/#spider,2019-04-23 20:46:46,2,50126,[],FALSE,a4f0a0d8d8c1a160,28159,a4f0a0d8d8c1a160
1366,https://static.politifact.com/rulings/tom-false.png,1217213340,18391,"No, late-term abortions are not unrestricted under new law",https://www.politifact.com/facebook-fact-checks/statements/2019/feb/01/viral-image/no-new-york-abortion-law-doesnt-let-mothers-abort-/,Politifact,http://www.politifact.com,2019-02-01 00:00:00.000000,2,48308,[3689],FALSE,3a5dccd4eccc8d00,73162,3a5dccd4eccc8d00
1365,http://www.abortionprocedures.com/wp-content/uploads/2015/12/unnamed-1-copy.jpg,478554407,285563,Abortion: What you need to know,http://www.abortionprocedures.com,abortionprocedures.com,http://abortionprocedures.com/,2016-03-16 17:11:00,2,35392,[],FALSE,c4d99a9ededced3f,81463,c4d99a9ededced3f
1364,https://i2.wp.com/www.michiganadvance.com/wp-content/uploads/2019/04/tr98.png?fit=741%2C486&ssl=1,1290243008,1175191,Michigan NICU nurse Julia Pulver's tweets on Trump's abortion lie go viral ⋆ Michigan Advance,https://www.michiganadvance.com/blog/michigan-nicu-nurse-julia-pulvers-tweets-on-trumps-abortion-lie-go-viral/,michiganadvance.com,http://michiganadvance.com/,2019-04-28 20:27:12.000000,0,34631,[],FALSE,c1ccdcd8cbcbdb1a,163653,c1ccdcd8cbcbdb1a
1363,http://a57.foxnews.com/media2.foxnews.com/BrightCove/694940094001/2018/05/18/0/0/694940094001_5786674682001_5786673702001-vs.jpg?ve=1,878646811,1092,Trump takes on Planned Parenthood with ban on abortion counseling at federally funded clinics,http://www.foxnews.com/politics/2018/05/18/trump-takes-on-planned-parenthood-with-ban-on-abortion-counseling-at-federally-funded-clinics.html,FOX News,http://www.foxnews.com/,2018-05-18 16:09:00.000000,2,34628,[3690],FALSE,ec67737afbdefafa,112746,ec67737afbdefafa
1362,https://static.politico.com/52/5f/f6c54e494ddcba8ca4f1bbfb968a/180122-tony-perkins-zs-1160.jpg,778038047,18268,"Tony Perkins: Trump Gets 'a Mulligan’ on Life, Stormy Daniels",https://www.politico.com/magazine/story/2018/01/23/tony-perkins-evangelicals-donald-trump-stormy-daniels-216498,Politico,https://www.politico.com/,2018-01-23 05:01:52.000000,1,32439,[3687],FALSE,e8ccccdcbc1c1c19,172897,e8ccccdcbc1c1c19
1361,https://media.npr.org/assets/img/2018/05/23/gettyimages-835236446_wide-a5e918ab1678b93e91f3dfa9d9b874ff8d38ed1b.jpg?s=1400,882716996,1096,"Under Trump, Family Planning Funds Could Go To Groups That Oppose Contraception",https://www.npr.org/2018/05/23/613777772/under-trump-family-planning-funds-could-go-to-groups-that-don-t-offer-birth-cont?utm_medium=RSS&utm_campaign=news,NPR,http://www.npr.org/,2018-05-23 16:38:00.000000,1,30186,[3689],FALSE,6f6f6bfa9cc8e167,1519017,6f6f6bfa9cc8e167
1360,https://static01.nyt.com/images/2019/02/27/science/27ABORTION/27ABORTION-facebookJumbo.jpg,1208348633,1,‘Executing Babies’: Here Are the Facts Behind Trump’s Misleading Abortion Tweet,https://www.nytimes.com/2019/02/26/health/abortion-bill-trump.html,New York Times,http://nytimes.com,2019-02-27 00:42:54.000000,4,28161,[3687],FALSE,9090d0d0d0d0d9c0,72764,9090d0d0d0d0d9c0
1359,https://www.texasobserver.org/wp-content/uploads/2013/07/20130712_Michels_TexasLegislature_303.jpg,572243852,20548,"Lawmaker: Abortion Ban Forces Women to be ‘More Personally Responsible’
",https://www.texasobserver.org/texas-lawmaker-no-abortion-access-would-force-women-to-be-more-personally-responsible-with-sex/,Texas Tribune,http://www.texastribune.org,2017-01-24 13:57:50,2,27832,[3686],FALSE,e0e0d098b4f0c8e8,94115,e0e0d098b4f0c8e8
1358,https://thehill.com/sites/default/files/article_images/executiondeathpenalty12292016getty.jpg,1244642752,18364,GOP Texas lawmaker reintroduces bill to allow death penalty for women who have abortions,https://thehill.com/homenews/state-watch/438207-gop-texas-lawmaker-reintroduces-bill-that-would-allow-death-penalty-for,The Hill,http://thehill.com/rss/syndicator/19109,2019-04-10 11:05:20,2,27791,[3686],FALSE,e1f1f1e5e5e4f1c5,70109,e1f1f1e5e5e4f1c5
1357,https://www.dailywire.com/sites/default/files/styles/open_graph/public/uploads/2019/04/screen_shot_2019-04-26_at_1.30.54_pm.png?itok=-k1yyIcO,1267174670,269352,Lawmaker&#039;s Harrowing Testimony: I Saw Born-Alive Babies Drowned In Saline After Botched Abortions,https://www.dailywire.com/news/46456/lawmakers-harrowing-testimony-i-saw-born-alive-amanda-prestigiacomo,Daily Wire,http://dailywire.com/,2019-04-26 14:37:56,0,27714,[3690],FALSE,c88ca4e8e958d9f9,1070600,c88ca4e8e958d9f9
1356,https://media.npr.org/assets/img/2019/04/26/690139731_wide-d1003fbce2f974838f1e90af21dcb605038eac28.jpg?s=1400,1266976824,1096,Kansas Supreme Court Rules State Constitution Protects Right To Abortion,https://www.npr.org/2019/04/26/717449336/kansas-supreme-court-rules-state-constitution-protects-right-to-abortion?utm_medium=RSS&utm_campaign=national,NPR,http://www.npr.org/,2019-04-26 10:52:40.000000,11,27531,[3689],FALSE,d8c8cccc4d0f0f2b,82373,d8c8cccc4d0f0f2b
,image_url,stories_id,media_id,story_title,story_url,media_name,media_url,publish_date,inlink_count,fb_count,partisan,deleted,d_hash,img_size,index