image_url,stories_id,media_id,story_title,story_url,media_name,media_url,publish_date,inlink_count,fb_count,partisan,image_url,deleted,d_hash,parent
"https://www.gannett-cdn.com/authoring/2019/05/15/USAT/ccbdddce-5ea2-44a3-8bb9-d6a8a81566b9-abortion-promo.png?crop=949,534,x0,y12&width=1200",1284184136,4,Where is abortion legal? Everywhere. But ...,http://rssfeeds.usatoday.com/~/602021212/0/usatoday-newstopstories~Where-is-abortion-legal-Everywhere-But/,USA Today,http://www.usatoday.com,5/15/19 20:47,95,1031,[3686],"https://www.gannett-cdn.com/authoring/2019/05/15/USAT/ccbdddce-5ea2-44a3-8bb9-d6a8a81566b9-abortion-promo.png?crop=949,534,x0,y12&width=1200",FALSE,3b3f1e5b635317a6,0
"https://www.gannett-cdn.com/presto/2019/05/28/PSPR/dd8de0c9-2063-40da-9940-25c23a121dcd-AP19136551026519.jpg?crop=4739,2666,x0,y278&width=3200&height=1680&fit=bounds",1298576189,4,Showdown over Missouri abortion clinic postponed as governor weighs in,http://rssfeeds.usatoday.com/~/602541582/0/usatoday-newstopstories~Showdown-over-Missouri-abortion-clinic-postponed-as-governor-weighs-in/,USA Today and blogs.news-leader.com,http://www.usatoday.com,5/30/19 13:43,182,29,[3686],"https://www.gannett-cdn.com/presto/2019/05/28/PSPR/dd8de0c9-2063-40da-9940-25c23a121dcd-AP19136551026519.jpg?crop=4739,2666,x0,y278&width=3200&height=1680&fit=bounds",FALSE,4836a64152f3e745,missouri
,,,,,,,,,,,,,,
"https://www.gannett-cdn.com/presto/2019/05/30/USAT/9db03bdd-f980-42f9-a1b9-ac516028e56d-EPA_USA_TRUMP_COMMANDER_IN_CHIEF_TROPHY.JPG?crop=4455,2552,x0,y149&width=3200&height=1680&fit=bounds",1297624589,29,"Trump&apos;s commencement speech, Pence in Canada, NBA Finals: 5 things you need to know Thursday",http://rssfeeds.indystar.com/~/602538248/0/indystar/allnews~Trumpaposs-commencement-speech-Pence-in-Canada-NBA-Finals-things-you-need-to-know-Thursday/,The Indianapolis Star,http://www.indystar.com/apps/pbcs.dll/frontpage,5/30/19 4:32,79,0,[3686],"https://www.gannett-cdn.com/presto/2019/05/30/USAT/9db03bdd-f980-42f9-a1b9-ac516028e56d-EPA_USA_TRUMP_COMMANDER_IN_CHIEF_TROPHY.JPG?crop=4455,2552,x0,y149&width=3200&height=1680&fit=bounds",FALSE,0923269a1b496932,0
https://static01.nyt.com/images/2019/05/15/us/abortion-ban-promo-1557933612354/abortion-ban-promo-1557933612354-facebookJumbo-v11.png,1284261697,1,7 States Have Passed Bills This Year to Narrow the Window for Abortion,https://www.nytimes.com/interactive/2019/us/abortion-laws-states.html?partner=rss&emc=rss,New York Times,http://nytimes.com,5/15/19 12:41,77,0,[3687],https://static01.nyt.com/images/2019/05/15/us/abortion-ban-promo-1557933612354/abortion-ban-promo-1557933612354-facebookJumbo-v11.png,FALSE,46715a4a9aeac8e0,0
https://media.npr.org/assets/img/2019/05/19/gettyimages-1144341731_wide-6719b0b3dd094ad16a9cc2862858b8082ba47113.jpg?s=1400,1293383690,658827,Missouri Gov. Mike Parson Signs Bill Banning Abortion After 8 Weeks,https://www.npr.org/2019/05/24/724532856/missouri-governor-signs-ban-on-abortion-after-8-weeks-of-pregnancy,State News - United States - Missouri,http://www.missouri.statenews.net/,5/25/19 4:26,72,2874,[],https://media.npr.org/assets/img/2019/05/19/gettyimages-1144341731_wide-6719b0b3dd094ad16a9cc2862858b8082ba47113.jpg?s=1400,FALSE,c3dbc5a525a96717,missouri
"https://www.gannett-cdn.com/presto/2019/05/30/USAT/34778e8b-3995-4843-b18e-63a0070004cb-XXX_Galaxy_s_Edge0178.JPG?crop=5687,3212,x0,y320&width=3200&height=1680&fit=bounds",1298678594,29,"Missouri abortion clinic, 2020 Democratic candidates, &apos;Star Wars&apos;: 5 things you need to know Friday",http://rssfeeds.indystar.com/~/602576088/0/indystar/todaystopstories~Missouri-abortion-clinic-Democratic-candidates-aposStar-Warsapos-things-you-need-to-know-Friday/,The Indianapolis Star,http://www.indystar.com/apps/pbcs.dll/frontpage,5/31/19 4:21,66,0,[3686],"https://www.gannett-cdn.com/presto/2019/05/30/USAT/34778e8b-3995-4843-b18e-63a0070004cb-XXX_Galaxy_s_Edge0178.JPG?crop=5687,3212,x0,y320&width=3200&height=1680&fit=bounds",FALSE,f4b4f4cedb9b1bc4,0
https://img.washingtonpost.com/favicon.ico,370860812,2,"Washington Post: Breaking News, World, US, DC News &amp; Analysis",https://www.washingtonpost.com/,Washington Post,http://washingtonpost.com,11/13/14 2:00,59,28006,[3687],https://img.washingtonpost.com/favicon.ico,FALSE,3.26856E+15,0
https://pmcvariety.files.wordpress.com/2019/05/handmaids-tale-abortion-protest.jpg?w=700&h=393&crop=1,1295679118,19076,Netflix the Only Hollywood Studio to Speak Out in Attack Against Abortion Rights (EXCLUSIVE),https://variety.com/2019/film/features/abortion-laws-hollywood-studios-netflix-1203225843/,variety.com,http://www.variety.com,5/28/19 9:15,59,2067,[3686],https://pmcvariety.files.wordpress.com/2019/05/handmaids-tale-abortion-protest.jpg?w=700&h=393&crop=1,FALSE,6.9697E+15,0
https://www.plannedparenthood.org/static/assets/favicons/pp-blue-favicon.9f8cba64f3c9.ico,1315588922,34778,"BREAKING: In 72 Hours, Missouri Will No Longer Have a Health Center That Provides Abortion",https://www.plannedparenthood.org/about-us/newsroom/press-releases/breaking-in-72-hours-missouri-will-no-longer-have-a-health-center-that-provides-abortion,plannedparenthood.org (no image) and NPR,http://www.plannedparenthood.org#spider,32:52.9,112,22,[],https://www.npr.org/2019/05/28/727323584/missouri-could-soon-become-first-state-without-a-clinic-that-performs-abortions,FALSE,92b9f9d9f1e5b733,missouri
,,,,,,,,,,,,,,
https://news.stlpublicradio.org/sites/kwmu/files/styles/medium/public/053019_CH_plannedparenthood_downtown_05.JPG,1357458159,114452,Tensions High As Missouri Awaits Decision On Missouri's Sole Abortion Clinic,https://news.stlpublicradio.org/post/tensions-high-missouri-awaits-decision-missouris-sole-abortion-clinic#stream/0,stlpublicradio.org,http://stlpublicradio.org/,44:19.2,54,55,[],https://news.stlpublicradio.org/sites/kwmu/files/styles/medium/public/053019_CH_plannedparenthood_downtown_05.JPG,FALSE,af8c26c607cc4e3b,missouri
https://media.npr.org/assets/img/2019/05/29/ap_19137690462547_wide-9a0a30a4dded89de8d89a37e5041734fe7c931e8.jpg?s=1400,1315755977,1096,Louisiana's Democratic Governor Signs Abortion Ban Into Law,https://www.npr.org/2019/05/29/728141835/louisiana-lawmakers-approve-strict-abortion-limit-dem-governor-says-he-will-sign,NPR,http://www.npr.org/,5/30/19 2:16,53,3201,[3689],https://media.npr.org/assets/img/2019/05/29/ap_19137690462547_wide-9a0a30a4dded89de8d89a37e5041734fe7c931e8.jpg?s=1400,FALSE,d2e5fc5963a9d94f,0
https://cdn.cnn.com/cnnnext/dam/assets/190507102532-02-ga-abortion-bill-signing-0507-super-tease.jpg,1276546324,1095,Georgia's governor signs a controversial abortion bill into law,http://rss.cnn.com/~r/rss/cnn_topstories/~3/3wk6uP1gOAI/index.html,CNN and NPR,http://www.cnn.com/,5/7/19 10:59,104,47773,[3687],https://cdn.cnn.com/cnnnext/dam/assets/190507102532-02-ga-abortion-bill-signing-0507-super-tease.jpg,FALSE,b792b3b1b1929393,0
,,,,,,,,,,,,,,
https://media.npr.org/assets/img/2019/05/31/ap_19150678340494_wide-a11be88473ef6197efa20038032befaea6d70c78.jpg?s=1400,1299019954,1096,"As Missouri's Last Abortion Provider Nears Closing, Neighboring Clinics Prepare",https://www.npr.org/2019/05/31/728566814/as-missouris-last-clinic-nears-deadline-neighboring-abortion-providers-prepare?utm_medium=RSS&utm_campaign=news,NPR,http://www.npr.org/,5/31/19 9:57,51,506,[3689],https://media.npr.org/assets/img/2019/05/31/ap_19150678340494_wide-a11be88473ef6197efa20038032befaea6d70c78.jpg?s=1400,FALSE,3b595b4955d6b2b9,0
https://media.npr.org/include/images/facebook-default-wide.jpg?s=1400,1298087927,658827,License For Missouri&#39;s Only Clinic That Performs Abortions Expires This weekend,https://www.npr.org/2019/05/30/728198711/license-for-missouri-s-only-clinic-that-performs-abortions-expires-friday,npr Missouri,http://www.missouri.statenews.net/,5/30/19 9:14,99,3,[],https://media.npr.org/include/images/facebook-default-wide.jpg?s=1400,FALSE,3b595b4955d6b2b9,0
,,,,,,,,,,,,,,
https://storage.googleapis.com/afs-prod/media/media:5a7ddd638fd54b6a9b508fac434de24e/2000.jpeg,1287138422,312802,Alabama governor invokes God in banning nearly all abortions,https://www.apnews.com/7a47ddc761dc4b72a017b0836da3a87b,alabama.statenews.net,http://alabama.statenews.net/,5/19/19 0:28,44,27651,[],https://storage.googleapis.com/afs-prod/media/media:5a7ddd638fd54b6a9b508fac434de24e/2000.jpeg,FALSE,1939b9b11525e4a6,0
https://cdn.cnn.com/cnnnext/dam/assets/190515181630-kay-ivey-abortion-bill-0515-super-tease.jpg,1284097393,1095,Gov. Kay Ivey signed into law a bill that was passed with the aim of challenging the landmark Roe v. Wade decision that legalized abortion,http://rss.cnn.com/~r/rss/cnn_topstories/~3/RIxw9kMM1ek/index.html,CNN,http://www.cnn.com/,5/15/19 18:25,41,35545,[3687],https://cdn.cnn.com/cnnnext/dam/assets/190515181630-kay-ivey-abortion-bill-0515-super-tease.jpg,FALSE,343535e5e969e9e8,0
https://cdn.cnn.com/cnnnext/dam/assets/190524115807-02-missouri-abortion-bill-signing-0524-super-tease.jpg,1292563477,1095,Missouri's governor signs bill that bans abortion after 8 weeks,http://rss.cnn.com/~r/rss/cnn_latest/~3/vJ-bb12k8Pg/index.html,CNN,http://www.cnn.com/,5/24/19 12:06,39,2396,[3687],https://cdn.cnn.com/cnnnext/dam/assets/190524115807-02-missouri-abortion-bill-signing-0524-super-tease.jpg,FALSE,8d185918cfda78f0,missouri
https://cdn.cnn.com/cnnnext/dam/assets/190225173028-woman-sonogram-1-super-tease.jpg,1245670649,1095,Heartbeat bills in Georgia and Ohio await governors' signatures,http://rss.cnn.com/~r/rss/cnn_latest/~3/YI95ByEBi-A/index.html,CNN,http://www.cnn.com/,4/11/19 9:21,38,1139,[3687],https://cdn.cnn.com/cnnnext/dam/assets/190225173028-woman-sonogram-1-super-tease.jpg,,1,0
https://cdn.cnn.com/cnnnext/dam/assets/190521142511-05-abortion-ban-protests-0521-super-tease.jpg,1292759274,1095,Federal judge blocks Mississippi abortion law,http://rss.cnn.com/~r/rss/cnn_topstories/~3/k-jg5XWXdKM/index.html,CNN,http://www.cnn.com/,5/24/19 16:38,37,90247,[3687],https://cdn.cnn.com/cnnnext/dam/assets/190521142511-05-abortion-ban-protests-0521-super-tease.jpg,,2,0
https://cdn.cnn.com/cnnnext/dam/assets/190521134607-02-abortion-ban-protests-0521-super-tease.jpg,1297225840,1095,Louisiana sends 'heartbeat' abortion ban bill to governor's desk,http://rss.cnn.com/~r/rss/cnn_topstories/~3/2xUFlN1bLcA/index.html,CNN,http://www.cnn.com/,5/29/19 18:36,35,1364,[3687],https://cdn.cnn.com/cnnnext/dam/assets/190521134607-02-abortion-ban-protests-0521-super-tease.jpg,,3,0
https://cdn.cnn.com/cnnnext/dam/assets/180207034803-mike-pence-tokyo-super-tease.jpg,854682261,1095,Indiana abortion law signed by Mike Pence ruled unconstitutional,http://rss.cnn.com/~r/rss/cnn_latest/~3/uQ1s9s3KVsQ/index.html,CNN,http://www.cnn.com/,4/20/18 16:30,35,0,[3687],https://cdn.cnn.com/cnnnext/dam/assets/180207034803-mike-pence-tokyo-super-tease.jpg,,4,0
http://i2.cdn.turner.com/cnnnext/dam/assets/150506132844-mike-pence-gallery-1-large-169.jpg,438521080,1095,Indiana Gov. Mike Pence signs new abortion restrictions into law,http://rss.cnn.com/c/35492/f/676954/s/4e7ff437/sc/7/l/0L0Scnn0N0C20A160C0A30C240Cpolitics0Cmike0Epence0Eindiana0Edisability0Eabortion0Cindex0Bhtml0Deref0Frss0Ilatest/story01.htm,CNN,http://www.cnn.com/,3/24/16 21:11,34,4,[3687],http://i2.cdn.turner.com/cnnnext/dam/assets/150506132844-mike-pence-gallery-1-large-169.jpg,,5,0
https://cdn.cnn.com/cnnnext/dam/assets/130603130022-norma-mccorvey-story-top.jpg,1173366034,1095,New York puts in measures to protect access to abortion even if Roe v. Wade is overturned,http://rss.cnn.com/~r/rss/cnn_latest/~3/nO7KjzQ8X5A/index.html,CNN,http://www.cnn.com/,1/23/19 14:29,28,100994,[3687],https://cdn.cnn.com/cnnnext/dam/assets/130603130022-norma-mccorvey-story-top.jpg,,6,0
https://cdn.cnn.com/cnnnext/dam/assets/190514220329-alabama-abortion-bill-debate-super-tease.jpg,1283129525,1095,"The bill is the most restrictive in the US to date, and it could punish doctors who perform abortions with life in prison",http://rss.cnn.com/~r/rss/cnn_topstories/~3/Qhz5ytTEbmk/index.html,CNN,http://www.cnn.com/,5/14/19 22:16,28,17570,[3687],https://cdn.cnn.com/cnnnext/dam/assets/190514220329-alabama-abortion-bill-debate-super-tease.jpg,,7,0
https://cdn.cnn.com/cnnnext/dam/assets/190521142511-05-abortion-ban-protests-0521-super-tease.jpg,1289717842,1095,Nevada and Mississippi judges block abortion bans,http://rss.cnn.com/~r/rss/cnn_latest/~3/K2oqGtJ-cYk/index.html,CNN and CNN,http://www.cnn.com/,5/22/19 1:00,65,1291,[3687],https://cdn.cnn.com/cnnnext/dam/assets/190521142511-05-abortion-ban-protests-0521-super-tease.jpg,,8,0
,,,,,,,,,,,,,0,